id,time,latitude,longitude
ak0202t4s8z7,2020-03-01T15:12:02.508Z,63.26,-151.0557
ak0202t5l1sc,2020-03-01T16:46:39.486Z,61.9825,-151.4916
ak0202t5xnfl,2020-03-01T17:05:18.920Z,61.2358,-149.313
ak0202t5y9ya,2020-03-01T17:08:10.589Z,61.5781,-147.6256
ak0202t62o29,2020-03-01T17:28:59.697Z,57.2594,-156.289
ak0202t6j429,2020-03-01T18:05:31.085Z,60.8461,-153.4689
ak0202t6m5fo,2020-03-01T18:19:49.390Z,63.4613,-147.5291
ak0202t6s3vk,2020-03-01T18:47:28.728Z,66.2949,-157.4382
ak0202t77bcp,2020-03-01T19:18:23.937Z,60.1629,-140.8986
ak0202t7p459,2020-03-01T20:01:28.993Z,60.3086,-153.3769
ak0202t7r0c1,2020-03-01T20:10:12.193Z,60.4323,-141.6003
ak0202t8l9v3,2020-03-01T21:51:32.533Z,63.1089,-151.4129
ak0202t93wk5,2020-03-01T22:38:24.756Z,60.0184,-152.1086
ak0202t94q6x,2020-03-01T22:42:08.891Z,63.2632,-150.4599
ak0202t95gok,2020-03-01T22:45:52.658Z,62.5143,-151.2707
ak0202ujxltg,2020-03-02T01:03:05.801Z,61.2959,-150.216
ak0202ulro4v,2020-03-02T04:11:28.636Z,61.8049,-149.5372
ak0202ulvj6l,2020-03-02T04:29:31.137Z,61.7504,-150.7967
ak0202ulw0o8,2020-03-02T04:31:57.528Z,59.1651,-152.3099
ak0202ulwsxa,2020-03-02T04:35:23.765Z,61.0763,-150.5404
ak0202umfv8g,2020-03-02T05:24:18.569Z,63.8266,-147.9146
ak0202umyhpn,2020-03-02T06:11:07.681Z,58.1765,-155.3383
ak0202umypto,2020-03-02T06:12:12.774Z,68.8083,-148.4941
ak0202un14pr,2020-03-02T06:23:38.372Z,61.9636,-151.7813
ak0202unktz0,2020-03-02T07:15:30.880Z,62.9544,-151.2884
ak0202uoaioj,2020-03-02T08:35:15.222Z,61.3602,-150.0151
ak0202uoxpoh,2020-03-02T09:43:35.896Z,65.2413,-163.0699
ak0202uph82j,2020-03-02T10:34:39.655Z,61.5835,-146.5087
ak0202upmjaj,2020-03-02T10:59:17.834Z,59.735,-152.3674
ak0202upw8qv,2020-03-02T11:04:46.889Z,61.3738,-151.712
ak0202upw9cy,2020-03-02T11:04:54.747Z,60.1711,-153.0611
ak0202uq0g3a,2020-03-02T11:24:06.276Z,60.0348,-152.7073
ak0202uq5spa,2020-03-02T11:49:04.461Z,61.3593,-149.9486
ak0202uqj6oa,2020-03-02T12:11:49.041Z,65.5505,-149.9805
ak0202uqmrpx,2020-03-02T12:28:22.871Z,60.008,-152.9185
ak0202uqoxjm,2020-03-02T12:38:31.852Z,64.4809,-149.4427
ak0202uqrbbn,2020-03-02T12:49:43.555Z,58.3756,-154.4804
ak0202urcpwz,2020-03-02T13:49:30.116Z,62.785,-152.2852
ak0202urpjcl,2020-03-02T14:09:10.611Z,64.7544,-147.9829
ak0202urq9iv,2020-03-02T14:12:45.773Z,62.22,-153.4783
ak0202us9r82,2020-03-02T15:03:43.741Z,60.2751,-151.1879
ak0202usa561,2020-03-02T15:05:24.574Z,60.7675,-149.6973
ak0202usioxq,2020-03-02T15:45:13.305Z,61.8749,-149.2714
ak0202ut22py,2020-03-02T16:35:56.551Z,60.0755,-151.152
av62138976,2020-02-25T06:05:34.600Z,51.901,179.5666667
av62138981,2020-02-25T06:08:58.160Z,51.9215,179.536
av62138986,2020-02-25T09:32:08.530Z,52.05,-176.0048333
av62139071,2020-02-25T18:11:05.470Z,56.2348333,-159.1318333
av62139091,2020-02-25T21:06:24.600Z,51.8535,-177.8178333
av62139361,2020-02-25T23:58:04.870Z,51.8501667,-177.7631667
av62139476,2020-02-26T00:42:47.030Z,52.0468333,-176.0096667
av62139826,2020-02-26T08:20:58.570Z,51.8515,-177.769
av62139831,2020-02-26T08:42:40.900Z,51.8568333,-177.7731667
av62140071,2020-02-26T18:09:05.540Z,51.8596667,-177.8346667
av62140701,2020-02-27T16:31:22.880Z,51.9365,178.2513333
av62140706,2020-02-27T16:45:08.170Z,52.0593333,-176.117
av62140711,2020-02-27T16:46:47.520Z,52.0551667,-176.1251667
av62140731,2020-02-27T18:43:13.560Z,51.8625,179.4688333
av62141016,2020-02-28T00:47:08.100Z,52.0681667,-176.11
av62141046,2020-02-28T00:56:18.730Z,52.0713333,-176.1125
av62141236,2020-02-28T07:58:27.850Z,51.8683333,-177.9105
av62141276,2020-02-28T09:58:19.980Z,51.8486667,-177.7668333
av70872629,2020-02-26T04:00:34.150Z,52.0643333,-176.1246667
av70872669,2020-02-26T07:07:29.470Z,52.0535,-176.0108333
av70872709,2020-02-26T08:32:44.800Z,52.0641667,-176.0021667
av70872729,2020-02-26T09:52:31.030Z,52.0658333,-176.1186667
av70872734,2020-02-26T09:52:51.230Z,52.0608333,-176.12
av70872959,2020-02-26T13:05:31.960Z,52.0675,-176.1163333
av70873004,2020-02-26T15:00:32.500Z,52.0735,-176.1115
av70873064,2020-02-26T18:20:51.530Z,52.063,-176.1093333
av70873069,2020-02-26T18:20:49.050Z,52.067,-176.1023333
av70873074,2020-02-26T18:22:18.540Z,52.0565,-176.1043333
av70873439,2020-02-28T00:47:09.570Z,52.07,-176.1193333
ci37435301,2020-02-26T18:52:35.240Z,36.0386667,-117.8121667
ci37435405,2020-02-24T18:50:41.460Z,35.9075,-117.6793333
ci39082271,2020-02-24T18:19:00.560Z,35.6315,-117.4215
ci39082287,2020-02-24T18:35:56.610Z,35.9136667,-117.6798333
ci39082303,2020-02-24T18:36:51.100Z,35.9053333,-117.6801667
ci39082327,2020-02-24T18:50:25.660Z,35.914,-117.6788333
ci39082447,2020-02-24T20:41:49.140Z,35.0551667,-118.3483333
ci39082463,2020-02-24T20:51:40.650Z,35.6648333,-117.4865
ci39082479,2020-02-24T21:08:04.690Z,35.881,-117.697
ci39082495,2020-02-24T21:23:19.560Z,35.8998337,-117.742836
ci39082527,2020-02-24T21:53:49.130Z,35.9095,-117.6746667
ci39082575,2020-02-24T22:18:16.870Z,35.7781677,-117.5853348
ci39082583,2020-02-24T22:57:29.020Z,33.4938333,-116.7863333
ci39082703,2020-02-25T00:51:39.350Z,35.6448333,-117.4351667
ci39082791,2020-02-25T05:13:41.930Z,35.7766667,-117.5985
ci39082799,2020-02-25T05:16:42.150Z,35.1101667,-117.4586667
ci39082807,2020-02-25T05:39:24.760Z,33.0926667,-116.5056667
ci39082823,2020-02-25T06:13:34.230Z,35.7511667,-117.5848333
ci39082847,2020-02-25T07:52:00.260Z,35.6841667,-117.5286667
ci39082871,2020-02-25T08:31:39.300Z,35.7181667,-117.5603333
ci39082903,2020-02-25T10:12:34.370Z,35.7218333,-117.5011667
ci39082911,2020-02-25T10:50:23.470Z,32.6305,-115.688
ci39082927,2020-02-25T11:17:59.440Z,35.676,-117.5165
ci39082967,2020-02-25T12:03:21.990Z,35.8676667,-117.694
ci39082975,2020-02-25T12:07:27.720Z,35.9239998,-117.7005005
ci39082983,2020-02-25T12:24:15.290Z,35.6876667,-117.5038333
ci39083039,2020-02-25T13:58:33.890Z,32.8696667,-115.9785
ci39083055,2020-02-25T14:36:15.920Z,35.5931667,-117.3895
ci39083063,2020-02-25T15:03:02.580Z,34.0065,-118.2068333
ci39083095,2020-02-25T16:46:16.040Z,35.3488333,-117.817
ci39083119,2020-02-25T17:16:03.880Z,35.6791667,-117.4636667
ci39083127,2020-02-25T17:19:38.610Z,33.8725,-119.3596667
ci39083143,2020-02-25T17:36:14.210Z,36.0673333,-117.855
ci39083159,2020-02-25T17:38:56.520Z,33.4993333,-116.7896667
ci39083183,2020-02-25T17:54:17.320Z,35.6243333,-117.4391667
ci39083207,2020-02-25T18:22:56.970Z,36.1888351,-118.0283356
ci39083231,2020-02-25T18:46:42.640Z,35.6841667,-117.4803333
ci39083239,2020-02-25T18:50:33.680Z,32.8315,-116.1285
ci39083255,2020-02-25T19:04:57.830Z,35.488,-118.2933333
ci39083279,2020-02-25T19:29:55.150Z,33.849,-117.4993333
ci39083303,2020-02-25T19:47:53.200Z,33.8663333,-116.3705
ci39083399,2020-02-25T22:19:38.460Z,36.114,-117.8696667
ci39083407,2020-02-25T22:21:51.310Z,35.3516667,-117.8193333
ci39083423,2020-02-25T22:30:59.270Z,32.968,-116.2391667
ci39083439,2020-02-25T22:35:19.300Z,35.3535,-117.8158333
ci39083447,2020-02-25T22:35:40.790Z,33.2195,-116.736
ci39083455,2020-02-25T22:37:17.130Z,35.3473333,-117.8226667
ci39083463,2020-02-25T22:38:15.730Z,35.3665,-117.8328333
ci39083471,2020-02-25T23:33:58.450Z,35.8271667,-117.6598333
ci39083503,2020-02-26T00:08:01.020Z,32.4631667,-115.2103333
ci39083527,2020-02-26T00:19:31.500Z,32.4723333,-115.2146667
ci39083567,2020-02-26T00:53:43.290Z,35.3606667,-117.8133333
ci39083583,2020-02-26T01:19:36.370Z,35.3455,-117.8215
ci39083607,2020-02-26T01:54:11.750Z,35.8298333,-117.684
ci39083615,2020-02-26T02:00:22.870Z,35.6741667,-117.4593333
ci39083623,2020-02-26T02:03:12.270Z,35.7638333,-117.5508333
ci39083631,2020-02-26T02:45:48.700Z,35.3493333,-117.824
ci39083639,2020-02-26T03:09:38.070Z,35.8438333,-117.6651667
ci39083655,2020-02-26T03:45:48.480Z,36.0683333,-117.8536667
ci39083671,2020-02-26T04:05:16.500Z,32.8736667,-116.0163333
ci39083711,2020-02-26T05:05:48.810Z,33.1005,-116.5011667
ci39083719,2020-02-26T05:26:35.480Z,35.7798333,-117.5896667
ci39083727,2020-02-26T05:36:52.910Z,32.9823333,-116.221
ci39083743,2020-02-26T06:00:34.000Z,35.8581667,-117.6908333
ci39083759,2020-02-26T06:27:22.670Z,33.8466667,-117.1515
ci39083775,2020-02-26T07:25:23.260Z,33.49,-116.7945
ci39083807,2020-02-26T07:55:31.610Z,32.8693333,-116.0205
